﻿Rank,Company, Headquarters/ U.S. headquarters,State,U.S. sales growth (&#039;22 v &#039;21), 2022 U.S. retail sales (billions) , 2022 worldwide retail sales (billions) ,U.S. % of worldwide sales, 2022 U.S. stores ,U.S. store growth (&#039;22 v &#039;21),Notes,Expand all
57,Chedraui,Los Angeles, CA,137.30%,$7.45 ,$12.64 ,59%,376,205.70%,Reflects Chedraui USA’s acquisition of grocery chain Smart &amp; Final effective 2022.,
58,Northeast Grocery,Schenectady, NY,N/A,$7.20 ,$7.20 ,100%,277,N/A,Price Chopper/Market 32 and Tops Markets merged to form the new Northeast Grocery effective 2022.,
59,J.C. Penney Company,Plano, TX,-9.00%,$7.12 ,$7.16 ,99%,661,-1.20%,,
60,Bass Pro,Springfield, MO,1.80%,$7.05 ,$7.62 ,93%,154,0.00%,,
61,Camping World,Lincolnshire, IL,0.80%,$6.98 ,$6.98 ,100%,237,4.90%,,
62,Bath &amp; Body Works,Reynoldsburg,OH,-4.90%,$6.97 ,$7.61 ,92%,1,693,2.50%,Spun off from L Brands into a separate publicly traded company in 2021. 
63,Southeastern Grocers,Jacksonville, FL,2.60%,$6.94 ,$6.94 ,100%,424,1.20%,,
64,Sephora (LVMH),San Francisco, CA,15.00%,$6.92 ,$14.52 ,48%,531,4.50%,,
65,Dillard&#039;s,Little Rock, AR,7.30%,$6.84 ,$6.84 ,100%,250,0.00%,,
66,Hobby Lobby Stores,Oklahoma City, OK,9.10%,$6.84 ,$6.84 ,100%,1,20,1.90%,
67,AVB Brandsource,Tustin, CA,3.00%,$6.69 ,$6.85 ,98%,3,145,0.20%,
68,Staples,Framingham, MA,-3.70%,$6.44 ,$7.95 ,81%,1,5,-3.60%,
69,Sprouts Farmers Market,Phoenix, AZ,5.00%,$6.40 ,$6.40 ,100%,386,3.20%,,
70,Academy Sports,Katy, TX,-5.60%,$6.40 ,$6.40 ,100%,268,3.50%,,
71,Discount Tire,Scottsdale, AZ,5.40%,$6.23 ,$6.23 ,100%,1,113,2.40%,
72,Foot Locker,New York, NY,-4.50%,$6.14 ,$7.89 ,78%,1,539,-8.80%,
73,True Value Co.,Chicago, IL,5.00%,$5.92 ,$5.92 ,100%,4,241,0.00%,
74,Petco,San Diego, CA,4.00%,$5.88 ,$6.04 ,97%,1,432,-0.20%,
75,Ikea North American Svcs,Conshohocken, PA,2.00%,$5.87 ,$45.14 ,13%,52,0.00%,,
76,Victoria&#039;s Secret,Reynoldsburg,OH,-8.10%,$5.64 ,$6.17 ,91%,812,0.50%,Spun off from L Brands into a separate publicly traded company in 2021. ,
77,Raley&#039;s Supermarkets,West Sacramento, CA,73.50%,$5.53 ,$5.53 ,100%,237,94.30%,Reflects Raley’s acquisition of Bashas’ effective 2022. ,
78,Big Lots,Columbus, OH,-11.10%,$5.47 ,$5.47 ,100%,1,425,-0.40%,
79,Piggly Wiggly,Keene, NH,6.40%,$5.35 ,$5.35 ,100%,407,0.00%,,
80,Harbor Freight Tools,Calabasas, CA,13.10%,$5.35 ,$5.35 ,100%,1,300,7.40%,
81,Michaels Stores,Irving, TX,5.00%,$5.26 ,$5.87 ,90%,1,142,0.20%,
82,Office Depot,Boca Raton, FL,-7.80%,$5.11 ,$7.42 ,69%,980,-5.60%,,
83,My Demoulas,Tewksbury, MA,4.50%,$4.95 ,$4.95 ,100%,91,1.10%,,
84,Total Wine &amp; More,Bethesda, MD,14.60%,$4.94 ,$4.94 ,100%,245,8.40%,,
85,Hudson&#039;s Bay,New York, NY,7.70%,$4.86 ,$9.66 ,50%,142,0.70%,,
86,Stater Bros Holdings,San Bernardino, CA,1.70%,$4.85 ,$4.85 ,100%,172,0.00%,,
87,Advance Auto,Raleigh, NC,1.40%,$4.80 ,$4.82 ,99%,4,600,2.90%,
88,Casey&#039;s General Store,Ankeny, IA,10.00%,$4.78 ,$4.78 ,100%,2,480,1.10%,
89,Weis Markets,Sunbury, PA,11.20%,$4.70 ,$4.70 ,100%,197,0.50%,,
