﻿Rank,Company,2018 retail sales (billions),Headquarters/U.S. headquarters,2018 stores,Worldwide retail sales (billions),USA % of worldwide sales,Growth (&#039;18 v &#039;17),Notes,Expand all
1,Walmart,$387.66 ,Bentonville, AR,5,263,$529.54 ,73%,-1%,
2,Amazon.com,$120.93 ,Seattle, WA,490,$185.33 ,65%,6%,
3,The Kroger Co.,$119.70 ,Cincinnati, OH,3,035,$119.70 ,100%,-22%,Sold convenience store business to EE Group, effective FY 2018,
4,Costco,$101.43 ,Issaquah, WA,523,$135.51 ,75%,3%,
5,Walgreens Boots Alliance,$98.39 ,Deerfield, IL,9,451,$106.37 ,92%,18%,Acquired part of Rite Aid stores, effective FY 2018,
6,The Home Depot,$97.27 ,Atlanta, GA,1,969,$106.42 ,91%,0%,
7,CVS Health Corporation,$83.79 ,Woonsocket, RI,9,954,$85.06 ,99%,1%,
8,Target,$74.48 ,Minneapolis, MN,1,844,$74.48 ,100%,1%,
9,Lowe&#039;s Companies,$64.09 ,Mooresville, NC,1,723,$69.57 ,92%,-6%,Orchard Supply Hardware divestiture in the U.S., effective FY 2018,
10,Albertsons Companies,$59.71 ,Boise, ID,2,249,$59.71 ,100%,-3%,
11,Apple Stores / iTunes,$47.27 ,Cupertino, CA,271,$54.05 ,87%,0%,
12,Royal Ahold Delhaize USA,$43.80 ,Carlisle, PA,1,958,$74.11 ,59%,0%,
13,Best Buy,$39.19 ,Richfield, MN,1,024,$42.72 ,92%,-21%,
14,McDonald&#039;s,$38.53 ,Oak Brook, IL,14,155,$82.71 ,47%,-1%,
15,Publix Super Markets,$36.52 ,Lakeland, FL,1,444,$36.52 ,100%,3%,
16,TJX Companies,$29.59 ,Framingham, MA,3,092,$39.52 ,75%,5%,
17,ALDI,$28.78 ,Batavia, IL,2,386,$106.16 ,27%,6%,Includes Trader Joe&#039;s and Aldi Sued,
18,Dollar General,$25.63 ,Goodlettsville, TN,15,472,$25.63 ,100%,6%,
19,Macy&#039;s,$24.90 ,Cincinnati, OH,867,$25.02 ,100%,1%,
