﻿Rank,Company,Headquarters/U.S. headquarters,U.S. sales growth (&#039;21 v &#039;20),2021 worldwide retail sales (billions),2021 U.S. retail sales (billions),U.S. % of worldwide sales,2021 U.S. stores,U.S. store growth (&#039;21 v &#039;20),Notes,Expand all
1,Walmart,Bentonville, AR,6.60%,$546.89 ,$459.51 ,84%,5,326,-0.10%,
2,Amazon.com,Seattle, WA,12.60%,$329.69 ,$217.79 ,66%,557,5.50%,
3,Costco Wholesale,Issaquah, WA,15.80%,$189.42 ,$140.41 ,74%,561,2.40%,
4,The Home Depot,Atlanta, GA,15.10%,$149.41 ,$140.06 ,94%,1,993,1.00%,
5,The Kroger Co.,Cincinnati, OH,3.90%,$136.49 ,$136.49 ,100%,2,874,-1.60%,
6,Walgreens Boots Alliance,Deerfield, IL,3.50%,$121.20 ,$108.34 ,89%,8,600,-1.80%,
7,Target,Minneapolis, MN,13.20%,$104.62 ,$104.62 ,100%,1,926,1.50%,
8,CVS Health Corporation,Woonsocket, RI,4.40%,$93.79 ,$93.36 ,100%,9,773,-0.30%,
9,Lowe&#039;s Companies,Mooresville, NC,5.80%,$92.47 ,$87.73 ,95%,1,737,0.20%,
10,Albertsons Companies,Boise, ID,3.10%,$71.87 ,$71.87 ,100%,2,320,1.40%,
11,Apple Stores / iTunes,Cupertino, CA,17.80%,$74.90 ,$64.84 ,87%,272,0.40%,
12,Royal Ahold Delhaize USA,Carlisle, PA,3.50%,$91.19 ,$53.66 ,59%,2,056,3.60%,
13,Publix Super Markets,Lakeland, FL,7.10%,$48.00 ,$48.00 ,100%,1,598,5.00%,
14,Best Buy,Richfield, MN,10.50%,$51.81 ,$47.76 ,92%,957,-1.80%,
15,TJX Companies,Framingham, MA,51.30%,$49.11 ,$38.08 ,78%,3,345,2.50%,
16,Aldi,Batavia, IL,4.30%,$131.90 ,$37.01 ,28%,2,697,3.50%,Includes Trader Joe’s and Aldi Sued,
17,Dollar General,Goodlettsville, TN,1.40%,$34.23 ,$34.23 ,100%,18,378,5.90%,
18,H.E. Butt Grocery,San Antonio, TX,5.20%,$32.83 ,$31.00 ,94%,345,0.60%,
19,Dollar Tree,Chesapeake, VA,3.50%,$26.39 ,$25.93 ,98%,15,857,3.30%,
20,Ace Hardware,Oak Brook, IL,8.80%,$25.93 ,$24.67 ,95%,4,807,3.40%,
21,Macy&#039;s,New York, NY,41.30%,$24.34 ,$24.23 ,100%,730,-0.40%,
22,7-Eleven,Dallas, TX,31.60%,$92.33 ,$23.84 ,26%,12,689,34.20%,
23,AT&amp;T Wireless,Dallas, TX,21.40%,$20.66 ,$20.66 ,100%,1,580,-16.00%,
24,Meijer,Grand Rapids, MI,2.40%,$20.06 ,$20.06 ,100%,260,1.60%,
25,Verizon Wireless,New York, NY,27.70%,$19.78 ,$19.78 ,100%,6,217,-1.90%,
