zip,name,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,city,stabbr,cty_name
11202,"BROOKLYN, NY",J,40,H,499,H,2314,16,BROOKLYN,NY,KINGS
11203,"BROOKLYN, NY",H,14799,H,235272,H,995374,920,BROOKLYN,NY,KINGS
11204,"BROOKLYN, NY",G,19844,G,153698,G,687526,2342,BROOKLYN,NY,KINGS
11205,"BROOKLYN, NY",G,16538,G,188178,G,894142,1626,BROOKLYN,NY,KINGS
11206,"BROOKLYN, NY",G,20578,G,217205,G,937982,1594,BROOKLYN,NY,KINGS
11207,"BROOKLYN, NY",G,13265,G,143219,G,641853,1088,BROOKLYN,NY,KINGS
11208,"BROOKLYN, NY",G,9564,G,92001,G,405654,962,BROOKLYN,NY,KINGS
11209,"BROOKLYN, NY",G,15108,H,172100,H,740018,1914,BROOKLYN,NY,KINGS
11210,"BROOKLYN, NY",G,9270,G,91239,G,404864,1093,BROOKLYN,NY,KINGS
11211,"BROOKLYN, NY",G,34781,G,288656,G,1350420,3124,BROOKLYN,NY,KINGS
11212,"BROOKLYN, NY",H,13029,H,220099,H,862326,835,BROOKLYN,NY,KINGS
11213,"BROOKLYN, NY",G,5619,G,46315,G,202877,887,BROOKLYN,NY,KINGS
11214,"BROOKLYN, NY",G,14840,G,131873,G,602305,2034,BROOKLYN,NY,KINGS
11215,"BROOKLYN, NY",G,21367,G,277244,G,1301517,2317,BROOKLYN,NY,KINGS
11216,"BROOKLYN, NY",G,7132,G,74247,G,329737,997,BROOKLYN,NY,KINGS
11217,"BROOKLYN, NY",H,17811,H,209950,H,874496,1420,BROOKLYN,NY,KINGS
11218,"BROOKLYN, NY",G,22678,G,194593,G,874204,1897,BROOKLYN,NY,KINGS
11219,"BROOKLYN, NY",H,37112,H,437698,H,1904593,3095,BROOKLYN,NY,KINGS
11220,"BROOKLYN, NY",H,28610,G,333841,G,1337025,2702,BROOKLYN,NY,KINGS
11221,"BROOKLYN, NY",G,5835,G,51984,G,241268,927,BROOKLYN,NY,KINGS
11222,"BROOKLYN, NY",G,15350,G,201798,G,925653,1926,BROOKLYN,NY,KINGS
11223,"BROOKLYN, NY",G,18024,G,151050,G,711138,2258,BROOKLYN,NY,KINGS
11224,"BROOKLYN, NY",G,6801,G,63321,G,297358,736,BROOKLYN,NY,KINGS
11225,"BROOKLYN, NY",G,6025,G,50915,G,248521,892,BROOKLYN,NY,KINGS
11226,"BROOKLYN, NY",G,8473,G,75030,G,323898,1346,BROOKLYN,NY,KINGS
11228,"BROOKLYN, NY",G,4369,G,44956,G,206130,860,BROOKLYN,NY,KINGS
11229,"BROOKLYN, NY",G,19243,G,171052,G,759581,2238,BROOKLYN,NY,KINGS
11230,"BROOKLYN, NY",G,30903,G,243326,G,1069803,2220,BROOKLYN,NY,KINGS
